Temp ( C ),Temp(K),rho (kg/m3)
-75,198.15,1.783
-50,223.15,1.582
-25,248.15,1.422
-15,258.15,1.367
-10,263.15,1.341
-5,268.15,1.316
0,273.15,1.292
5,278.15,1.268
10,283.15,1.246
15,288.15,1.225
20,293.15,1.204
25,298.15,1.184
30,303.15,1.164
40,313.15,1.127
50,323.15,1.093
60,333.15,1.06
80,353.15,1
100,373.15,0.9467
125,398.15,0.8868
150,423.15,0.8338
175,448.15,0.7868
200,473.15,0.7451
225,498.15,0.7078
300,573.15,0.6168
400,673.15,0.5238
500,773.15,0.4567
600,873.15,0.4043
700,973.15,0.3626
800,1073.15,0.3289
900,1173.15,0.3009
1000,1273.15,0.2773
1100,1373.15,0.2571
